Id,Designator,Package,Quantity,Designation,Supplier and ref,,,,
1,"C1,C4",CP_Radial_D10.0mm_P5.00mm,2,100uF,,OK,,,
2,C2,CP_Radial_D10.0mm_P5.00mm,1,330uF,,OK-Together with C3 => 470uF instead,,,
3,L1,L_Radial_D10.0mm_P5.00mm_Fastron_07M,1,330uH,,OK,,,
4,"Q1,Q2,Q3,Q4",TO-92_Inline,4,2N7000,,OK,15,,
5,"R1,R2,R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,10K,,OK,30,,
6,U1,TO-220-5_Vertical,1,LM2575-5.0BT,,OK,,,
7,U2,TO-220-3_Vertical,1,LM1117-3.3,,OK,,,
8,U3,WM8804_Breakout_18mm_x_25mm,1,WM8804,,OK,,,
9,U4,CSRA64215,1,CSRA64215,,OK,,,
10,C3,CP_Radial_Tantal_D5.0mm_P2.50mm,1,10uF,,OK-Together with C3 => 470uF instead,,,
11,C8,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,0.1uF,,OK,3,?,"+1 for C9, +1 for simplified SPDIF output"
12,C9,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,150n,,OK-100nF used instead + 47nF,,,
13,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,374,,OK,,,
14,"R8,R10,R11,R3,R7,R9,R12,R13",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,8,10k,,OK,,,
15,Y1,Crystal_HC49-4H_Vertical,1,12Mhz,,OK,,,
16,C5,C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,1uF,,OK,3,?,
17,"C6,C7",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,15pF,,OK,,,
18,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,93,,OK-91Ohm,,,
19,"R14,R15,R16,R17,R18,R19",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,12k,,OK,,,
20,U5,DIP-14_W7.62mm,1,74HC04,,OK,2,+1 socket,
21,"JP1,JP2,JP3,JP4,JP5,JP6,JP7",PinHeader_1x02_P2.54mm_Vertical,7,Jumper,,OK,10,,
22,U6,STM32F103C8T6,1,STM32F103,,OK,,,
23,"R20,R21,R22,R23",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,4.7K,,OK,10,,
24,R24,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,100,,OK,2,?,+1 for simplified SPDIF output
25,R25,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1K,,OK,,,
26,R26,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,47K,,OK,,,
27,D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5819,,OK,,,
,,,,,,,,,
,,,,330,,OK-for simplified SPDIF output,,,
